player_name,age,player_height
Lou Williams,34,185.42
Louis King,22,200.66
Luguentz Dort,22,190.5
Luka Doncic,22,200.66
Luka Samanic,21,208.28
Luke Kennard,25,195.58
Luke Kornet,25,218.44
Malachi Flynn,23,185.42
Malcolm Brogdon,28,195.58
Malik Beasley,24,193.04
Malik Fitts,23,203.2
Malik Monk,23,190.5
Mamadi Diakite,24,205.74
LeBron James,36,205.74
Marc Gasol,36,210.82
Marcus Smart,27,190.5
Markelle Fultz,23,190.5
Markieff Morris,31,205.74
Markus Howard,22,177.8
Marques Bolden,23,208.28
Marquese Chriss,23,205.74
Marvin Bagley III,22,210.82
Mason Jones,22,193.04
Mason Plumlee,31,210.82
Matisse Thybulle,24,195.58
Matt Thomas,26,193.04
Matthew Dellavedova,30,190.5
Maurice Harkless,28,200.66
Max Strus,25,195.58
Marcus Morris Sr.,31,203.2
Aaron Gordon,25,203.2
